Company Name,Minimum CPI/GPA,Required Skills,Internship Role,Visits IIT Patna ,No of Projects,Key words in project,Branches Invited,DSA REQUIRED,CORE COMPUTER SKILLS
Hindustan Unilever,7.0+,"Marketing, Product Design",Marketing Intern,NO,2+,"Marketing, Product Design",Any Branch,YES,"OS, DBMS, OOP"
Reliance Industries,7.0+,"Mechanical, Civil, Information Technology",Engineering Intern,NO,2+,"Engineering, IT Solutions","Mechanical, Civil, IT",NO,None
Capgemini,7.0+,"Networking, Cloud Computing",Information Technology Intern,NO,2+,"Networking, Cloud Computing","CSE, IT",NO,"Networks, OS"
Quicksell,Not Available,"Node.js, Django, Structured Query Language",Backend Engineer,YES,2+,"Node.js, Django, SQL","CSE, IT",YES,"OS, DBMS, Networks"
BPCL,7.0+,Oil and Gas,Chemical Engineering Intern,NO,2+,"Chemical Engineering, Oil and Gas",Chemical,NO,None
UBS,7.0+,Petroleum Engineering,Energy Intern,NO,2+,"Petroleum Engineering, Energy",Petroleum,NO,None
GAIL,7.0+,"Power Systems, Electrical Engineering",Electrical Engineer Intern,NO,2+,"Power Systems, Electrical Engineering",Electrical,NO,None
Indian Oil Corporation,7.0+,"Power Systems, Electrical Engineering",Gas Engineer Intern,NO,2+,"Electrical Engineering, Power Systems",Electrical,NO,None
NTPC,7.0+,"Power Systems, Electrical Engineering",Electrical Engineer Intern,NO,2+,"Electrical Engineering, Power Systems",Electrical,NO,None
Zomato,7,"Python, Data Structures and Algorithms",Software Development Engineer,YES,2+,"Python, DSA, Algorithms","CSE, IT",YES,"OS, DBMS, OOP"
Accolite,6,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA","CSE, IT",YES,"OS, DBMS, OOP"
Arista,7.5,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Algorithms","CSE, IT",YES,"OS, DBMS, OOP"
Atlassian,7,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Algorithms","CSE, IT",YES,"OS, DBMS, OOP"
Brane Enterprises,8,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Algorithms","CSE, IT",YES,"OS, DBMS, OOP"
Cognam,7,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Algorithms","CSE, IT",YES,"OS, DBMS, OOP"
Google,Not Available,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, System Design","CSE, IT, Maths & Computing",YES,"OS, DBMS, OOP, Networks"
Husk Power Systems,7,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Algorithms","CSE, IT",YES,"OS, DBMS, OOP"
MAQ Software,6,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Software Development","CSE, IT",YES,"OS, DBMS, OOP"
Money Forward,Not Available,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Algorithms","CSE, IT",YES,"OS, DBMS, OOP"
Mphasis Limited,6.3,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Software Engineering","CSE, IT",YES,"OS, DBMS, OOP"
Nucleus Software,6,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Software Development","CSE, IT",YES,"OS, DBMS, OOP"
Persistent,Not Available,"Python, C++, Data Structures and Algorithms",Software Engineer,YES,2+,"Python, C++, DSA, Software Engineering","CSE, IT",YES,"OS, DBMS, OOP"
TCS R&I,7.5,"Python, C++, Data Structures and Algorithms",System Engineer,YES,2+,"Python, C++, DSA, System Engineering","CSE, IT",YES,"OS, DBMS, OOP, Networks"
Barclays,7.0+,Risk Management,Banking Analyst Intern,NO,2+,"Risk Management, Banking, Finance","Finance, MBA, Economics",NO,None
Accenture,7.0+,"SAP, Consulting, Structured Query Language",Information Technology Consulting Intern,NO,2+,"SAP, SQL, Consulting, IT Services","CSE, IT, ECE",NO,"DBMS, Networks"
HCL Technologies,7.0+,"Software Development, Python",Software Developer Intern,NO,2+,"Python, Software Development","CSE, IT",YES,"OS, DBMS, OOP"
Mindtree,7.0+,"Software Testing, Java",Software Tester Intern,NO,2+,"Java, Software Testing, QA","CSE, IT",YES,"OS, DBMS"
ZS Associates,7,"Structured Query Language, Microsoft Excel, Python, Microsoft Power BI",Decision Analyst Associate,YES,2+,"SQL, Excel, Python, Power BI, Data Analysis","CSE, IT, Data Science",NO,DBMS
Texas Instruments,Not Available,"Structured Query Language, Microsoft Excel, Python, Microsoft Power BI",Digital Design Engineer,YES,2+,"SQL, Excel, Python, Power BI, Digital Design","CSE, ECE, EE",NO,"OS, DBMS"
Adobe,7.0+,"Web Development, User Experience/User Interface",Software Developer Intern,YES,2+,"Web Development, UI/UX, JavaScript","CSE, IT",NO,"OS, DBMS, Networks"
